Target Level,Method,SARI,BERTScore (ref),BERTScore (src),BLEU,FKGL,Dist-1,PPL,Comp. ratio,Sent. splits,Lev. sim.,Copies,Add prop.,Del prop.,file
Simp-1,$\mathcal{G}$,36.60907246941898,81.67569041252136,90.05454778671265,65.15940857446401,9.152054302713008,0.915911677067122,100.6671762226977,0.974721265494311,1.015068493150685,0.8856760652202614,0.1753424657534246,0.0797820156902431,0.1082595378679999,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-1,$\mathcal{B}_{Simp-1} $1.0,36.10456314658703,80.445396900177,88.54766488075256,61.68260227052789,8.812059566631255,0.9217394954013728,102.1357701546255,0.9413723713904086,1.006255707762557,0.8759904355187744,0.1315068493150684,0.0746435191894753,0.134177171047505,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela-lp_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-1, MUSS,35.689194748475046,75.94923973083496,82.26390480995178,50.60716819373559,7.75204434148225,0.9374968221735271,89.7289758707546,0.8113696828763506,1.0034246575342465,0.8443199641548914,0.0136986301369863,0.0740102117815728,0.2353417011057762,/srv/scratch6/kew/ats/muss/outputs/newsela_manual_v0_v1_test_lr0.3_ls0.99_wr0.54_td1.45.pred
Simp-1, SUPER-LR,32.49488589978109,88.18694353103638,98.4181582927704,78.49198704267457,9.357699722150098,0.920550981849146,90.29056745435086,0.9911410650186188,1.0388127853881275,0.9902620264578528,0.8876712328767123,0.0066286165845141,0.0146579279957524,/srv/scratch6/kew/ats/supervised/newsela_manual/results/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2,$\mathcal{G}$,35.00692541253321,73.53473901748657,90.01209139823914,52.84435335882945,9.124966884785689,0.915278830639668,101.40151513077436,0.9730181014630964,1.0155807365439091,0.8854216583700656,0.178470254957507,0.0799737620375679,0.1097878050968961,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2,$\mathcal{B}_{Simp-2} $4.0,38.32434908841999,70.74786424636841,84.40972566604614,48.024292922322566,7.422021616404862,0.9081329746956426,110.91986289718552,0.9647470485189632,1.2517469310670442,0.8408430152954978,0.0793201133144475,0.1225066786374355,0.1704518138313868,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela-lp_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-2, MUSS,36.56649639212855,65.90726375579834,76.07623934745789,28.72453119816894,7.269932240546723,0.9417949542675628,176.12638661375368,0.7781718477116932,1.0252596789423984,0.7525305225215143,0.0028328611898017,0.1474720341347051,0.3454880255267279,/srv/scratch6/kew/ats/muss/outputs/newsela_manual_v0_v2_test_lr0.75_ls0.82_wr0.94_td0.22.pred
Simp-2, SUPER-LR,31.119813921382782,78.21668982505798,96.9895601272583,61.781532123492646,8.87753238953239,0.9198997676879358,107.54160726516676,0.9907982450699198,1.095467422096317,0.9789937268083752,0.7960339943342776,0.0150109411008761,0.0267883740378908,/srv/scratch6/kew/ats/supervised/newsela_manual/results/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-3,$\mathcal{G}$,30.874248537789317,65.06243944168091,90.07975459098816,38.6874327772562,9.092561134901874,0.9136345007763044,107.53765380917127,0.9782052946060056,1.0145631067961165,0.8865145154272003,0.1812297734627831,0.0817531903776541,0.1077696519446306,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-3,$\mathcal{B}_{Simp-3} $4.0,39.55890338412528,61.45901679992676,79.28035259246826,32.46473248111164,6.4385554160029415,0.8954478368983123,625.4790292299828,1.0021046459979557,1.4539913700107872,0.8054793124285914,0.0194174757281553,0.1962965732265351,0.203187083522557,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela-lp_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-3, MUSS,38.04807209204429,56.02768659591675,67.73181557655334,19.27002958319584,5.189603761800168,0.9544390238302706,133.04522866991223,0.6193704105182549,1.0143473570658037,0.6822496371412616,0.0,0.1193380763132534,0.4510215897903234,/srv/scratch6/kew/ats/muss/outputs/newsela_manual_v0_v3_test_lr0.52_ls0.85_wr0.45_td0.62.pred
Simp-3, SUPER-LR,37.89119670557528,66.60246849060059,88.20703029632568,46.77124543600886,6.649427200501428,0.9123239732009196,5665.281252491808,0.9296570085065182,1.3396440129449831,0.9009095862321412,0.4822006472491909,0.0598826977365982,0.126623040238745,/srv/scratch6/kew/ats/supervised/newsela_manual/results/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-4,$\mathcal{G}$,25.61142639379135,56.21270537376404,90.1472270488739,25.14848897346938,9.41384431123523,0.9090005550052924,111.22439847480422,0.9827749489935426,1.009765625,0.8860602015237509,0.1796875,0.0835622726090571,0.1060153373944864,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
Simp-4,$\mathcal{B}_{Simp-4} $5.0,37.030541311205056,49.60206151008606,70.34936547279358,18.365855063204773,4.599209742918315,0.8807215673787009,113.42490912469913,1.0247902069484944,2.1416015625,0.7558478860181426,0.00390625,0.2792067657052761,0.2795987247312694,/srv/scratch6/kew/ats/fudge/results/bart_large_muss_mined_en/newsela-lp_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
