bleu;sari;fkgl;pbert_ref;rbert_ref;fbert_ref;pbert_src;rbert_src;fbert_src;ppl_mean;ppl_std;lens;lens_std;intra_dist1;intra_dist2;inter_dist1;inter_dist2;Compression ratio;Sentence splits;Levenshtein similarity;Exact copies;Additions proportion;Deletions proportion;Lexical complexity score;file_id
34.4049;39.9957;6.2649;58.0744;58.7698;58.3714;81.2619;74.435;77.7923;93.6806;132.996;50.5926;24.2071;90.0921;97.568;27.993;78.2378;0.9422;1.3812;0.8042;0.0291;0.1675;0.2384;8.5319;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v3_test/lambda3.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
30.4075;40.8322;3.8532;51.342;54.8369;52.9624;71.009;68.4389;69.5952;205.6547;1137.5173;38.9708;27.2952;85.6938;92.7185;26.1584;74.3577;1.0268;2.2377;0.7579;0.0194;0.2278;0.2485;8.5594;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v3_test/lambda5.0_pretopk100_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
30.6437;41.1517;5.1195;53.4067;56.7592;55.0346;73.6995;70.9116;72.2644;105.494;147.9456;41.7998;26.9446;87.7211;96.4766;27.3962;76.602;1.0024;1.7792;0.776;0.0259;0.2314;0.2453;8.5274;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v3_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
25.1485;25.6114;9.4138;49.6919;57.7321;53.6039;90.8469;88.3846;89.5801;96.9709;361.835;53.5839;17.202;90.9001;98.3698;30.8316;79.769;0.9828;1.0098;0.8861;0.1797;0.0836;0.106;8.6224;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
26.1352;30.7721;8.4852;51.32;56.6314;53.9095;89.6644;82.368;85.9598;78.4991;68.2041;54.4442;18.5327;92.1798;98.8888;31.8468;81.5443;0.917;1.0405;0.8628;0.0625;0.0869;0.1729;8.6431;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
21.8614;37.4947;5.9552;46.6416;53.1008;49.7906;77.4686;73.4192;75.4032;89.1019;91.6052;47.2439;24.6506;88.334;96.8662;29.2584;78.0495;0.9848;1.5997;0.7902;0.0156;0.2109;0.2406;8.5476;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
21.2863;37.4247;4.5806;42.6013;49.6131;45.989;71.2131;68.6208;69.8228;224.6235;1244.8248;37.7642;26.6325;85.3806;92.709;28.198;75.6068;1.0233;1.9809;0.7592;0.0117;0.2272;0.2473;8.6293;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda5.0_pretopk100_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.0_softFalse_temp1.0_topk0_topp1.0_bs1.txt
21.1837;37.5305;5.5652;44.6638;52.3973;48.4364;74.6453;72.7298;73.6264;88.0855;82.1551;41.7944;25.6233;87.0694;96.3458;28.9474;77.3813;1.0507;1.8152;0.785;0.0234;0.2302;0.2269;8.5552;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
18.8332;38.7515;4.7618;41.1633;50.526;45.7376;67.3522;67.8504;67.5267;104.6493;108.3377;35.0774;27.7964;84.9475;95.0933;27.6987;75.1137;1.1124;2.1775;0.7479;0.0039;0.2898;0.2411;8.5699;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda7.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
61.6826;36.1046;8.8121;81.1073;77.6785;79.3071;90.5481;85.3177;87.8775;93.4804;315.4197;61.1281;16.6437;92.1739;98.6081;27.7408;77.4267;0.9414;1.0063;0.876;0.1315;0.0746;0.1342;8.5682;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l1_article_paragraphs/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
48.0243;38.3243;7.422;69.7762;68.0552;68.8421;86.3339;80.7252;83.4579;95.8759;326.4176;58.1861;19.5549;90.8133;97.8634;26.9639;75.6593;0.9647;1.2517;0.8408;0.0793;0.1225;0.1705;8.5633;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l2_article_paragraphs/newsela_manual_v0_v2_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
32.4647;39.5589;6.4386;57.4381;61.1293;59.2265;79.7089;76.8253;78.2202;122.4903;551.5982;52.6881;21.3791;89.5448;96.9541;27.078;75.5089;1.0021;1.454;0.8055;0.0194;0.1963;0.2032;8.4901;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l3_article_paragraphs/newsela_manual_v0_v3_test/lambda4.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
18.3659;37.0305;4.5992;43.1524;49.9696;46.4969;70.2514;67.4569;68.807;99.6836;105.3144;41.6324;24.3531;88.0722;97.7096;29.3849;78.0428;1.0248;2.1416;0.7558;0.0039;0.2792;0.2796;8.5405;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela-lp_l4_article_paragraphs/newsela_manual_v0_v4_test/lambda5.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt

