bleu;sari;fkgl;pbert_ref;rbert_ref;fbert_ref;pbert_src;rbert_src;fbert_src;ppl_mean;ppl_std;lens;lens_std;intra_dist1;intra_dist2;inter_dist1;inter_dist2;Compression ratio;Sentence splits;Levenshtein similarity;Exact copies;Additions proportion;Deletions proportion;Lexical complexity score;file_id
65.1594;36.6091;9.1521;81.2255;80.0698;80.5785;90.8667;88.0362;89.4163;91.8768;315.1927;60.7027;17.2814;91.5912;98.6221;27.2966;77.008;0.9747;1.0151;0.8857;0.1753;0.0798;0.1083;8.5526;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_para_sents/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
60.8377;36.3216;8.8209;79.962;76.3695;78.1036;89.2707;83.827;86.5002;92.4594;315.4803;58.9914;19.7991;91.6849;97.79;27.8679;77.6528;0.9524;1.0094;0.8638;0.137;0.0821;0.1438;8.5944;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l1_article_para_sents/newsela_manual_v0_v1_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
52.8444;35.0069;9.125;71.5401;72.5424;71.9687;90.8813;87.919;89.3639;92.4629;320.3616;58.4193;17.5628;91.5279;98.5752;27.5563;77.2722;0.973;1.0156;0.8854;0.1785;0.08;0.1098;8.5567;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_para_sents/newsela_manual_v0_v2_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
49.1512;36.6504;8.6387;72.2916;70.4512;71.3113;90.6942;84.1534;87.3712;94.0066;320.2667;59.4658;16.4027;92.5322;99.0691;28.441;78.5224;0.9248;1.0084;0.8713;0.102;0.0779;0.151;8.5604;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_para_sents/newsela_manual_v0_v2_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
41.3373;39.9937;7.0833;66.9573;69.4098;68.1051;82.2091;81.2781;81.6832;68.2207;65.3005;58.3941;17.5918;88.72;97.1533;24.2267;70.9622;1.0678;1.5173;0.8143;0.0283;0.1938;0.165;8.4857;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l2_article_para_sents/newsela_manual_v0_v2_test/lambda7.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
38.6874;30.8742;9.0926;60.8362;65.1362;62.8984;90.8646;88.0889;89.4397;97.6602;341.6717;55.9805;17.6112;91.3635;98.473;28.8317;78.5146;0.9782;1.0146;0.8865;0.1812;0.0818;0.1078;8.5681;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_para_sents/newsela_manual_v0_v3_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
39.2483;35.3505;8.3725;61.5406;62.9039;62.1736;88.8278;82.2565;85.4913;99.6452;348.664;55.1996;19.4687;91.619;97.9097;28.888;77.9459;0.9286;1.0573;0.8594;0.0583;0.0905;0.1635;8.5627;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_para_sents/newsela_manual_v0_v3_test/lambda1.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
26.6266;40.6581;5.1132;47.9914;52.41;50.0698;66.0084;64.9222;65.3659;192.3524;731.6371;37.8119;26.0969;85.8461;91.9212;24.6193;70.6492;1.0993;1.9179;0.7201;0.0097;0.2736;0.2658;8.5273;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l3_article_para_sents/newsela_manual_v0_v3_test/lambda7.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
65.1594;36.6091;9.1521;81.2255;80.0698;80.5785;90.8667;88.0362;89.4163;91.8768;315.1927;60.7027;17.2814;91.5912;98.6221;27.2966;77.008;0.9747;1.0151;0.8857;0.1753;0.0798;0.1083;8.5526;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v1_test/lambda0.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
44.1926;38.6725;7.2637;68.3983;64.5301;66.3794;84.2586;75.4455;79.7662;88.3598;122.578;55.2239;22.9109;91.1477;97.6075;27.354;75.9596;0.894;1.1795;0.818;0.051;0.1267;0.2284;8.5439;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v2_test/lambda2.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
25.7453;41.0182;3.2874;48.0412;53.647;50.7064;64.9015;64.8358;64.7287;116.6527;153.0332;35.9751;27.137;86.545;95.7014;26.0195;72.8561;1.1022;2.6502;0.7357;0.0032;0.2945;0.2695;8.5219;/home/user/kew/projects/simple_fudge/resources/fudge/results/bart_large_muss_mined_en/newsela_l4_article_para_sents/newsela_manual_v0_v3_test/lambda6.0_pretopk200_beams5_estopFalse_maxl128_minl10_sampleFalse_lp1.0_norep1_bgrps1_nbest5_repp1.2_softFalse_temp1.0_topk0_topp1.0_bs1.txt
